GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment2,default,User,0,15,0,0,0,6,0,3,0,3
Assignment2,default,RequiredFieldVerificationRule,0,60,1,13,0,13,1,9,0,3
Assignment2,default,PasswordVerificationException,0,4,0,0,0,2,0,1,0,1
Assignment2,default,EmailVerificationRule,0,38,0,6,0,10,0,5,0,2
Assignment2,default,EmailVerificationException,0,4,0,0,0,2,0,1,0,1
Assignment2,default,PasswordVerificationRule,0,41,0,8,0,10,0,6,0,2
Assignment2,default,UserVerificationException,0,4,0,0,0,2,0,1,0,1
Assignment2,default,UsernameVerificationException,0,4,0,0,0,2,0,1,0,1
Assignment2,default,UserVerificationService,0,22,0,0,0,7,0,2,0,2
Assignment2,default,UsernameVerificationRule,0,45,0,6,0,9,0,5,0,2
Assignment2,default,RequiredFieldException,0,4,0,0,0,2,0,1,0,1
Assignment2,default,UserVerificationBusinessRule,0,33,0,0,0,9,0,2,0,2
Assignment2,com.se498,BusinessRuleService,5,0,0,0,2,0,2,0,2,0
Assignment2,com.se498,ConversionStrategyFactory.InstanceHolder,3,0,0,0,1,0,1,0,1,0
Assignment2,com.se498,Participant,17,0,0,0,7,0,5,0,5,0
Assignment2,com.se498,ConversionCommand,15,0,0,0,5,0,2,0,2,0
Assignment2,com.se498,AgeRestrictionBusinessRule,2,3,0,0,1,1,1,1,1,1
Assignment2,com.se498,USConversionStrategy,5,0,0,0,2,0,2,0,2,0
Assignment2,com.se498,ConversionStrategyException,18,0,0,0,6,0,3,0,3,0
Assignment2,com.se498,ConversionStrategyFactory,7,0,0,0,3,0,3,0,3,0
Assignment2,com.se498,EUConversionStrategy,5,0,0,0,2,0,2,0,2,0
Assignment2,com.se498,AgeRestrictionException,13,0,0,0,6,0,3,0,3,0
